Molec_name	Conn_12	Conn_17	Conn_2	Conn_23	Conn_3	Conn_34	Conn_4	Conn_45	Conn_67	Conn_7	Ox_N1	Ox_O2	Ox_O3	Ox_N4	Ox_O5	Ox_O6	Central_bond	LS	Ox_state	DHI/DHICA	G_rel	E_S1	f_S1	E_S2	f_S2	E_S3	f_S3	G_rel_norm	E_S1_norm	E_S2_norm	E_S3_norm	log_f_S1_norm	log_f_S2_norm	log_f_S3_norm
s.lin.c.77.0.000-000	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	107.9	4.23	0.3789	4.30	0.4241	4.48	0.3788	0.8839	0.777	0.766	0.821	0.7464	0.8164	0.7356
d.lin.c.33.1.100-100	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	1	1	108.0	2.26	0.1071	2.33	0.0195	2.78	0.3924	0.8842	-0.137	-0.260	-0.190	0.5371	0.2914	0.7414
d.lin.t.34.1.100-100	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	1	1	1	125.3	1.52	0.1421	1.91	0.0555	2.26	0.3571	0.9440	-0.480	-0.479	-0.500	0.5840	0.4697	0.7259
d.lin.t.37.1.100-100	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	1	1	1	125.5	1.62	0.1123	1.90	0.0726	2.27	0.3532	0.9447	-0.434	-0.484	-0.494	0.5450	0.5155	0.7241
d.lin.t.37.1.100-001	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	1	1	1	102.5	1.87	0.1249	2.13	0.0105	2.76	0.3671	0.8632	-0.318	-0.365	-0.202	0.5626	0.1859	0.7304
s.lin.c.33.1.000-101	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	98.1	1.98	0.0944	2.71	0.0619	2.81	0.0215	0.8455	-0.267	-0.063	-0.173	0.5162	0.4883	0.2633
s.lin.t.34.1.000-101	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	1	0	1	1	99.7	1.97	0.0197	2.74	0.0126	2.83	0.0101	0.8520	-0.271	-0.047	-0.161	0.2566	0.2169	0.1389
s.lin.t.37.1.000-101	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	1	0	1	1	99.6	1.94	0.0172	2.40	0.0803	2.57	0.0247	0.8516	-0.285	-0.224	-0.315	0.2342	0.5327	0.2861
d.lin.c.47.1.100-100	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	1	1	141.2	1.10	0.1294	1.42	0.0988	1.72	0.0900	0.9921	-0.675	-0.734	-0.821	0.5685	0.5680	0.4990
s.lin.t.34.1.101-000	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	1	98.6	1.91	0.0738	2.44	0.0170	2.65	0.0299	0.8476	-0.299	-0.203	-0.268	0.4754	0.2680	0.3176
d.lin.c.77.1.100-001	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	1	1	113.1	1.39	0.1662	1.50	0.0062	2.22	0.2374	0.9028	-0.541	-0.693	-0.524	0.6099	0.0961	0.6587
d.lin.c.77.1.001-100	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	1	113.1	1.39	0.1663	1.50	0.0062	2.22	0.2374	0.9028	-0.541	-0.693	-0.524	0.6100	0.0961	0.6587
d.lin.c.77.1.001-001	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	1	131.6	3.32	0.1555	3.65	0.2076	3.90	0.1272	0.9638	0.355	0.427	0.476	0.5989	0.6946	0.5559
s.lin.t.37.1.101-000	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	1	0	1	1	99.6	1.98	0.0721	2.53	0.0174	2.66	0.0364	0.8516	-0.267	-0.156	-0.262	0.4716	0.2720	0.3500
s.lin.c.47.1.101-000	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	1	1	98.6	2.09	0.0200	2.68	0.0131	2.70	0.0124	0.8476	-0.216	-0.078	-0.238	0.2592	0.2236	0.1727
s.lin.c.77.1.000-101	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	1	100.5	1.85	0.0142	2.27	0.0801	2.32	0.0105	0.8553	-0.327	-0.292	-0.464	0.2024	0.5322	0.1453
d.lin.c.33.2.111-100	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	1	2	1	91.2	2.13	0.0595	2.40	0.0015	2.54	0.0211	0.8162	-0.197	-0.224	-0.333	0.4398	-0.1459	0.2602
