Molec_name	Conn_12	Conn_17	Conn_2	Conn_23	Conn_3	Conn_34	Conn_4	Conn_45	Conn_67	Conn_7	Ox_N1	Ox_O2	Ox_O3	Ox_N4	Ox_O5	Ox_O6	Central_bond	LS	Ox_state	DHI/DHICA	G_rel	E_S1	f_S1	E_S2	f_S2	E_S3	f_S3	AIQM_E_rel	G_rel_norm	E_S1_norm	E_S2_norm	E_S3_norm	log_f_S1_norm	log_f_S2_norm	log_f_S3_norm	AIQM_E_rel_norm
s.cyc.17.32.2.x11-101	0	1	0	1	0	0	0	0	0	0	0	1	1	1	0	1	1	0	2	0	72.4	1.59	0.0130	2.17	0.0667	2.52	0.0000	59.4	-0.2079	-0.448	-0.344	-0.345	0.1878	0.5010	-1.0000	-0.1653
s.cyc.23.34.2.110-011	0	0	0	1	0	1	0	0	0	0	1	1	0	0	1	1	0	0	2	0	73.2	1.45	0.0210	1.94	0.0277	2.41	0.1240	61.4	-0.1991	-0.513	-0.464	-0.411	0.2672	0.3512	0.5518	-0.1374
s.cyc.34.54.2.101-1x1	0	0	0	0	0	1	0	1	0	0	1	0	1	1	0	1	1	0	2	0	73.4	1.92	0.0185	2.17	0.0676	3.14	0.0247	53.8	-0.1969	-0.295	-0.344	0.024	0.2462	0.5033	0.2861	-0.2441
s.cyc.34.45.2.101-1x1	0	0	0	0	0	1	0	1	0	0	1	0	1	1	0	1	0	0	2	0	73.4	1.61	0.0537	2.12	0.0481	3.32	0.0025	55.6	-0.1969	-0.439	-0.370	0.131	0.4228	0.4453	-0.0910	-0.2189
s.cyc.23.43.2.110-011	0	0	0	1	0	1	0	0	0	0	1	1	0	0	1	1	1	0	2	0	73.5	1.47	0.0065	2.03	0.0038	2.32	0.1666	66.0	-0.1958	-0.503	-0.417	-0.464	0.0730	0.0126	0.6004	-0.0735
d.cyc.12.34.2.x01-111	1	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	1	2	0	73.7	1.94	0.1201	2.47	0.0135	2.85	0.0000	58.1	-0.1937	-0.285	-0.188	-0.149	0.5561	0.2287	-1.0000	-0.1834
s.cyc.12.43.2.x11-011	1	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1	1	0	2	0	74.2	1.53	0.1090	1.62	0.0514	2.50	0.0000	57.9	-0.1882	-0.476	-0.630	-0.357	0.5400	0.4566	-1.0000	-0.1864
z.cyc.34.76.2.111-01x	0	0	0	0	0	1	0	0	1	0	1	1	1	0	1	0	1	2	2	0	74.6	0.97	0.0058	1.91	0.0230	2.63	0.4304	55.7	-0.1838	-0.735	-0.479	-0.280	0.0541	0.3195	0.7566	-0.2179
d.cyc.34.45.2.111-1x0	0	0	0	0	0	1	0	1	0	0	1	1	1	1	0	0	0	1	2	0	74.9	1.55	0.1606	2.02	0.0485	2.57	0.2845	54.9	-0.1805	-0.466	-0.422	-0.315	0.6042	0.4467	0.6885	-0.2287
s.cyc.34.54.2.011-1x1	0	0	0	0	0	1	0	1	0	0	0	1	1	1	0	1	1	0	2	0	75.0	1.29	0.0515	1.88	0.0196	2.54	0.0000	57.3	-0.1794	-0.587	-0.495	-0.333	0.4158	0.2923	-1.0000	-0.1950
